Removed Pin From Net: NetName=+5 Pin=J4-1
Removed Pin From Net: NetName=+3.3 Pin=J4-2
Removed Pin From Net: NetName=GND Pin=J4-5
Removed Pin From Net: NetName=VREF_TGT Pin=J?-4
Removed Pin From Net: NetName=GND Pin=J?-6
Removed Pin From Net: NetName=GND Pin=J?-8
Removed Pin From Net: NetName=TDI Pin=J?-9
Removed Pin From Net: NetName=\RESET Pin=J?-11
Removed Pin From Net: NetName=GND Pin=Q1-2
Removed Pin From Net: NetName=NetD1_K Pin=Q1-3
Removed Pin From Net: NetName=GND Pin=TP1-1
Removed Pin From Net: NetName=VREF_TGT Pin=TP2-1
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=J4
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=J?
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=Q1
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=TP1
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=TP2
Change Component Footprint: Designator=J4 Old Footprint=70543-0109 - slim New Footprint=FTDI_6_HDR_TTL-232R
Change Component Comment : Designator=J4 Old Comment=5 contacts Male header New Comment=FTDI_6_DEVICE
Change component parameters: Designator = "J4" ("J4"); Footprint = "70543-0109 - slim"; UniqueID = "\OOUNWCUD\QACFOZXW" ("\OOUNWCUD\QACFOZXW")
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.onsemi.com/pub/Collateral/MC74VHC1G126-D.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Logic ICs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Buffers"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "IC BUFFER NON-INVERT 5.5V SC88A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Url"; Value = "https://www.onsemi.com/pub/Collateral/419A-02.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "SOT65P210X95-5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Logic Function Desc"; Value = "Non-Inverting"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "M74VHC1GT126DF1G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Junction Temp"; Value = "+150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = "0V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Buffers & Line Drivers 3-5.5V Single Non-Inverting TTL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Circuits"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Inputs"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Outputs"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/m74vhc1gt126df1g-on+semiconductor-1229339"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "419A-02"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Propagation Delay"; Value = "4.5ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Added Component: Designator=U3(FP-419A-02-MFG)
Add component (AddParameter): Name = "Ambient Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "IC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.onsemi.com/pub/Collateral/MC74VHC1G126-D.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Logic ICs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Buffers"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "IC BUFFER NON-INVERT 5.5V SC88A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Url"; Value = "https://www.onsemi.com/pub/Collateral/419A-02.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "SOT65P210X95-5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Logic Function Desc"; Value = "Non-Inverting"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "M74VHC1GT126DF1G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Junction Temp"; Value = "+150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = "0V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Buffers & Line Drivers 3-5.5V Single Non-Inverting TTL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Circuits"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Inputs"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Outputs"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/m74vhc1gt126df1g-on+semiconductor-1229339"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "419A-02"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Propagation Delay"; Value = "4.5ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Added Component: Designator=U4(FP-419A-02-MFG)
Add component (AddParameter): Name = "Ambient Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "IC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.onsemi.com/pub/Collateral/MC74VHC1G126-D.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Logic ICs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Buffers"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "IC BUFFER NON-INVERT 5.5V SC88A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Url"; Value = "https://www.onsemi.com/pub/Collateral/419A-02.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "SOT65P210X95-5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Logic Function Desc"; Value = "Non-Inverting"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "M74VHC1GT126DF1G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Junction Temp"; Value = "+150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = "0V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Buffers & Line Drivers 3-5.5V Single Non-Inverting TTL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Circuits"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Inputs"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Outputs"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/m74vhc1gt126df1g-on+semiconductor-1229339"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "419A-02"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Propagation Delay"; Value = "4.5ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=VREF_TGT Pin=C5-2
Added Pin To Net: NetName=GND Pin=C6-1
Added Pin To Net: NetName=VREF_TGT Pin=C6-2
Added Pin To Net: NetName=VREF_TGT Pin=J2-3
Added Pin To Net: NetName=GND Pin=J2-5
Added Pin To Net: NetName=GND Pin=J2-7
Added Pin To Net: NetName=TDI Pin=J2-10
Added Pin To Net: NetName=\RESET Pin=J2-12
Added Pin To Net: NetName=+5 Pin=J3-1
Added Pin To Net: NetName=+3.3 Pin=J3-2
Added Pin To Net: NetName=VREF_TGT Pin=J3-3
Added Pin To Net: NetName=GND Pin=J3-5
Added Pin To Net: NetName=GND Pin=J4-1
Added Pin To Net: NetName=GND Pin=J4-2
Added Pin To Net: NetName=GND Pin=QN1-1
Added Pin To Net: NetName=GND Pin=QN1-4
Added Pin To Net: NetName=NetD1_K Pin=QN1-6
Added Pin To Net: NetName=+3.3 Pin=R6-2
Added Pin To Net: NetName=GND Pin=R7-1
Added Pin To Net: NetName=GND Pin=R8-1
Added Pin To Net: NetName=GND Pin=R10-1
Added Pin To Net: NetName=GND Pin=U2-3
Added Pin To Net: NetName=GND Pin=U3-3
Added Pin To Net: NetName=VREF_TGT Pin=U3-5
Added Pin To Net: NetName=GND Pin=U4-3
Added Pin To Net: NetName=\RESET Pin=U4-4
Added Pin To Net: NetName=VREF_TGT Pin=U4-5
Added Pin To Net: NetName=\DTRRTS Pin=J4-6
Added Pin To Net: NetName=\DTRRTS Pin=U4-2
Added Net: Name=\DTRRTS
Added Pin To Net: NetName=CTX9 Pin=J2-11
Added Pin To Net: NetName=CTX9 Pin=SW1-2
Added Net: Name=CTX9
Added Pin To Net: NetName=FTDI_EN Pin=R8-2
Added Pin To Net: NetName=FTDI_EN Pin=R9-1
Added Pin To Net: NetName=FTDI_EN Pin=SW2-3
Added Pin To Net: NetName=FTDI_EN Pin=U2-1
Added Pin To Net: NetName=FTDI_EN Pin=U3-1
Added Net: Name=FTDI_EN
Added Pin To Net: NetName=FTDI_RESET Pin=R7-2
Added Pin To Net: NetName=FTDI_RESET Pin=SW2-4
Added Pin To Net: NetName=FTDI_RESET Pin=U4-1
Added Net: Name=FTDI_RESET
Added Pin To Net: NetName=FTDI_RXI Pin=J4-4
Added Pin To Net: NetName=FTDI_RXI Pin=U3-2
Added Net: Name=FTDI_RXI
Added Pin To Net: NetName=FTDI_TXO Pin=J4-5
Added Pin To Net: NetName=FTDI_TXO Pin=U2-4
Added Net: Name=FTDI_TXO
Added Pin To Net: NetName=FTDI_VCC Pin=C4-2
Added Pin To Net: NetName=FTDI_VCC Pin=J3-4
Added Pin To Net: NetName=FTDI_VCC Pin=J4-3
Added Pin To Net: NetName=FTDI_VCC Pin=SW2-1
Added Pin To Net: NetName=FTDI_VCC Pin=SW2-2
Added Pin To Net: NetName=FTDI_VCC Pin=U2-5
Added Net: Name=FTDI_VCC
Added Pin To Net: NetName=NetD3_A Pin=D3-A
Added Pin To Net: NetName=NetD3_A Pin=R6-1
Added Net: Name=NetD3_A
Added Pin To Net: NetName=NetD3_K Pin=D3-K
Added Pin To Net: NetName=NetD3_K Pin=QN1-3
Added Net: Name=NetD3_K
Added Pin To Net: NetName=NetQN1_2 Pin=QN1-2
Added Pin To Net: NetName=NetQN1_2 Pin=R3-2
Added Pin To Net: NetName=NetQN1_2 Pin=R4-2
Added Net: Name=NetQN1_2
Added Pin To Net: NetName=NetQN1_5 Pin=QN1-5
Added Pin To Net: NetName=NetQN1_5 Pin=R9-2
Added Pin To Net: NetName=NetQN1_5 Pin=R10-2
Added Net: Name=NetQN1_5
Added Pin To Net: NetName=RTCK Pin=J1-11
Added Pin To Net: NetName=RTCK Pin=J2-9
Added Net: Name=RTCK
Added Pin To Net: NetName=RxD Pin=J1-17
Added Pin To Net: NetName=RxD Pin=J2-13
Added Pin To Net: NetName=RxD Pin=U2-2
Added Net: Name=RxD
Added Pin To Net: NetName=SWDCLK/TCK Pin=J1-9
Added Pin To Net: NetName=SWDCLK/TCK Pin=J2-6
Added Net: Name=SWDCLK/TCK
Added Pin To Net: NetName=SWDIO/TMS Pin=J1-7
Added Pin To Net: NetName=SWDIO/TMS Pin=J2-4
Added Net: Name=SWDIO/TMS
Added Pin To Net: NetName=SWO/TDO Pin=J1-13
Added Pin To Net: NetName=SWO/TDO Pin=J2-8
Added Net: Name=SWO/TDO
Added Pin To Net: NetName=TxD Pin=J2-14
Added Pin To Net: NetName=TxD Pin=SW1-6
Added Pin To Net: NetName=TxD Pin=U3-4
Added Net: Name=TxD
Change Class Name : Old Net Name=J-Link Cortex with VCOM Adapter New Net Name=J-Link to STDC14
Added Class: Name=FTDI_INT
Added Member To Class: ClassName=J-Link to STDC14 Member=Component J2 STDC14 Debug Connector
Added Member To Class: ClassName=J-Link to STDC14 Member=Component J3 5 contacts Male header
Added Member To Class: ClassName=J-Link to STDC14 Member=Component QN1 Dual N-Ch FET
Added Room: Name=FTDI_INT
